S.No,PubChem CID,MW,LogP,HBD,HBA
1,1203,290.27,1.55,5,6
2,31553,482.44,2.36,5,10
3,439246,272.26,2.51,3,5
4,440735,288.25,2.22,4,6
5,440832,271.25,3.2,4,4
6,441773,301.27,3.21,4,5
7,441774,317.27,2.92,5,6
8,445154,228.25,2.97,3,3
9,5280343,302.24,1.99,5,7
10,5280443,270.24,2.58,3,5
11,5280863,286.24,2.28,4,6
12,5280961,270.24,2.58,3,5
13,5281654,316.27,2.29,4,7
14,5317750,284.27,2.88,2,5
15,5391140,254.24,2.87,2,4
16,68077,372.37,3.5,0,7
